sample,time,window,precision,modulation,band,delay,sleep,wakeup
270,2018-06-07 10:04:09.223593,0.4,4.000040000400005e-06,1,12,0.025667992503926196,1.600016000160002e-05,0.00048400484004840053
271,2018-06-07 10:04:10.578771,0.4,4.000040000400005e-06,2,43,0.03426031352673842,1.600016000160002e-05,0.00048400484004840053
272,2018-06-07 10:04:12.119710,0.4,4.000040000400005e-06,3,12,0.022010912077939194,1.2000120001200014e-05,0.00048800488004880054
273,2018-06-07 10:04:13.657137,0.4,4.000040000400005e-06,1,37,0.08549910151342893,1.600016000160002e-05,0.00048400484004840053
274,2018-06-07 10:04:15.076331,0.4,4.000040000400005e-06,1,33,0.07389931066892563,1.600016000160002e-05,0.00048400484004840053
275,2018-06-07 10:04:16.437483,0.4,4.000040000400005e-06,7,7,0.02624936624351857,1.600016000160002e-05,0.0005120051200512006
276,2018-06-07 10:04:17.854864,0.4,4.000040000400005e-06,6,29,0.13728467508995565,1.600016000160002e-05,0.00048400484004840053
277,2018-06-07 10:04:19.218315,0.4,4.000040000400005e-06,6,28,0.1291900726667559,1.600016000160002e-05,0.00048400484004840053
278,2018-06-07 10:04:20.605089,0.4,4.000040000400005e-06,5,37,0.15386209499801862,1.2000120001200014e-05,0.00048400484004840053
279,2018-06-07 10:04:22.101129,0.4,4.000040000400005e-06,0,6,0.07580409349118589,1.600016000160002e-05,0.0005160051600516006
280,2018-06-07 10:04:23.531253,0.4,4.000040000400005e-06,5,24,0.08287345490225767,1.600016000160002e-05,0.00048400484004840053
281,2018-06-07 10:04:24.897195,0.4,4.000040000400005e-06,1,28,0.12502137429753685,1.600016000160002e-05,0.00048400484004840053
282,2018-06-07 10:04:26.257828,0.4,4.000040000400005e-06,6,38,0.02412651484098749,1.600016000160002e-05,0.00048400484004840053
283,2018-06-07 10:04:27.668018,0.4,4.000040000400005e-06,3,32,0.06504500544224008,1.600016000160002e-05,0.00048400484004840053
284,2018-06-07 10:04:29.095688,0.4,4.000040000400005e-06,6,13,0.09280626066327852,1.600016000160002e-05,0.00048400484004840053
285,2018-06-07 10:04:30.445852,0.4,4.000040000400005e-06,2,30,0.10058079381629832,1.600016000160002e-05,0.0004800048000480005
286,2018-06-07 10:04:31.886750,0.4,4.000040000400005e-06,7,40,0.12847899509897806,1.600016000160002e-05,0.0004800048000480005
287,2018-06-07 10:04:33.351512,0.4,4.000040000400005e-06,3,35,0.14248060787013106,1.2000120001200014e-05,0.00048400484004840053
288,2018-06-07 10:04:34.725763,0.4,4.000040000400005e-06,0,46,0.07488524853118705,1.600016000160002e-05,0.00048800488004880054
289,2018-06-07 10:04:36.084866,0.4,4.000040000400005e-06,7,34,0.13011175148867724,1.600016000160002e-05,0.00048400484004840053
290,2018-06-07 10:04:37.485817,0.4,4.000040000400005e-06,3,9,0.05445565332717146,1.600016000160002e-05,0.00048400484004840053
291,2018-06-07 10:04:38.972337,0.4,4.000040000400005e-06,6,45,0.11279765559652706,1.600016000160002e-05,0.00048800488004880054
292,2018-06-07 10:04:40.464705,0.4,4.000040000400005e-06,4,6,0.0035118285208473043,1.600016000160002e-05,0.0005160051600516006
293,2018-06-07 10:04:41.805682,0.4,4.000040000400005e-06,1,13,0.09285589579031557,1.600016000160002e-05,0.0004800048000480005
294,2018-06-07 10:04:43.167674,0.4,4.000040000400005e-06,2,0,0.1226138491765856,1.2000120001200014e-05,0.0005120051200512006
295,2018-06-07 10:04:44.575724,0.4,4.000040000400005e-06,3,36,0.15443403288457003,1.600016000160002e-05,0.00048400484004840053
296,2018-06-07 10:04:46.114977,0.4,4.000040000400005e-06,4,28,0.0041057331096426624,1.600016000160002e-05,0.0004800048000480005
297,2018-06-07 10:04:47.501666,0.4,4.000040000400005e-06,1,28,0.15143842038758315,1.600016000160002e-05,0.0004800048000480005
298,2018-06-07 10:04:48.908191,0.4,4.000040000400005e-06,2,20,0.16981703949420296,1.600016000160002e-05,0.0004800048000480005
299,2018-06-07 10:04:50.398842,0.4,4.000040000400005e-06,3,8,0.0037234827648418237,1.2000120001200014e-05,0.0004960049600496006
300,2018-06-07 10:04:51.851497,0.4,4.000040000400005e-06,4,49,0.03513960332780286,1.600016000160002e-05,0.00048400484004840053
301,2018-06-07 10:04:53.195233,0.4,4.000040000400005e-06,5,50,0.09857559773189817,1.600016000160002e-05,0.00048400484004840053
302,2018-06-07 10:04:54.611039,0.4,4.000040000400005e-06,3,37,0.03427233163613781,1.2000120001200014e-05,0.0004800048000480005
